Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Balanced Accuracy,QWK,Cohen Kappa,MCC,ROC-AUC,Log Loss
ResNet-18 Baseline,0.5809,0.4658,0.6467,0.4886,0.6337,0.6467,0.6282,0.3316,0.3677,0.8711,0.9382
EfficientNet-B0,0.5486,0.4271,0.5377,0.4453,0.6039,0.5377,0.5844,0.2814,0.3113,0.8291,0.9969
Weighted ResNet-18 (Current Best),0.7431,0.6775,0.7979,0.7087,0.7724,0.7979,0.7628,0.5456,0.5724,0.9439,0.6161
ResNet18 + EfficientNet Naive Concatenation,0.6546,0.5031,0.624,0.5342,0.6923,0.624,0.6694,0.3954,0.415,0.8766,0.8223
ResNet18 + EfficientNet + Quality Fusion,0.6494,0.4935,0.6304,0.532,0.6866,0.6304,0.6608,0.3916,0.4121,0.876,0.8208
Weighted ResNet18 + EfficientNet Attention Fusion,0.7326,0.6487,0.7975,0.6907,0.7616,0.7975,0.7418,0.5319,0.5598,0.9397,0.658
