,precision,recall,f1-score,support
0,0.9333148865522967,0.7853317811408614,0.8529523327854344,4295.0
1,0.3052820053715309,0.7365010799136069,0.4316455696202532,463.0
2,0.6792035398230089,0.6133866133866134,0.6446194225721785,1001.0
3,0.5681818181818182,0.8620689655172413,0.684931506849315,174.0
4,0.7305699481865285,0.8867924528301887,0.8011363636363636,159.0
accuracy,0.7582074852265266,0.7582074852265266,0.7582074852265266,0.7582074852265266
macro avg,0.6433104396230366,0.7768161785577024,0.683057039092709,6092.0
weighted avg,0.8281089966705941,0.7582074852265266,0.7805490765023525,6092.0
